id_species,scientific,short,family,german
0,not determinable,NA,NA,NA
1,Alnus glutinosa,Aln_glu,Betulaceae,Schwarz-Erle
2,Carpinus betulus,Car_bet,Betulaceae,Hainbuche
3,Betula pendula,Bet_pen,Betulaceae,Hänge-Birke
4,Fagus sylvatica,Fag_syl,Fagaceae,Rot-Buche
5,Populus x canadensis,Pop_can,Salicaceae,Kanadische Pappel
6,Quercus robur,Que_rob,Fagaceae,Stiel-Eiche
7,Picea abies,Pic_abi,Pinaceae,Rotfichte
8,Corylus avellana,Cor_ave,Betulaceae,Gemeine Hasel
9,Prunus padus,Pru_pad,Rosaceae,Gewöhnliche Traubenkirsche
10,Larix decidua,Lar_dec,Pinaceae,Europäische Lärche
11,Populus tremula,Pop_tre,Salicaceae,Zitterpappel
12,Betula pubescens,Bet_pub,Betulaceae,Moor-Birke
13,Fraxinus excelsior,Fra_exc,Oleaceae,Gemeine Esche
14,Sorbus aucuparia,Sor_auc,Rosaceae,Vogelbeere
15,Prunus avium,Pru_avi,Rosaceae,Vogel-Kirsche
16,Tilia cordata,Til_cor,Malvaceae,Winter-Linde
17,Pinus sylvestris,Pin_syl,Pinaceae,Wald-Kiefer
18,Ilex aquifolium,Ile_aqu,Aquifoliaceae,Europäische Stechpalme
19,Sorbus torminalis,Sor_tor,Rosaceae,Elsbeere
20,Salix caprea,Sal_cap,Salicaceae,Sal-Weide
21,Salix alba,Sal_alb,Salicaceae,Silber-Weide
22,Frangula alnus,Fra_aln,Rhamnaceae,Faulbaum
23,Crataegus laevigata,Cra_lae,Rosaceae,Zweigriffeliger Weißdorn
24,Pseudotsuga menziesii,Pse_men,Pinaceae,Gewöhnliche Douglasie
25,Sambucus nigra,Sam_nig,Adoxaceae,Schwarzer Holunder
26,Acer pseudoplatanus,Ace_pse,Sapindaceae,Berg-Ahorn
27,Prunus spinosa,Pru_spi,Rosaceae,Schlehe
29,Ulmus glabra,Ulm_gla,Ulmaceae,Bergulme
30,Crataegus monogyna,Cra_mon,Rosaceae,Eingriffeliger Weißdorn
31,Alnus incana,Aln_inc,Betulaceae,Grau-Erle
32,Quercus rubra,Que_rub,Fagacaea,Rot-Eiche
33,Sambucus racemosa,Sam_rac,Adoxaceae,Roter Holunder
36,Acer platanoides,Ace_pla,Sapindaceae,Spitz-Ahorn
37,Tilia platiphyllos,Til_pla,Malvaceae,Sommer-Linde
38,Acer campestre,Ace_cam,Sapindaceae,Feld-Ahorn
39,Cornus mas,Cor_mas,Cornaceae,Kornelkirsche
40,Ulmus minor,Ulm_min,Ulmaceae,Feldulme
41,Prunus serotina,Pru_ser,Rosaceae,Spätblühende Traubenkirsche
42,Castanea sativa,Cas_sat,Fagaceae,Edelkastanie
43,Salix petandra,Sal_pet,Salicaceae,Lorbeer-Weide
45,Salix cinerea,Sal_cin,Salicaceae,Asch-Weide
47,Robinia pseudoacacia,Rob_pse,Fabaceae,Gewöhnliche Robinie
48,Cydonia oblonga,Cyd_obl,Rosaceae,Quitte
49,Populus balsamifera,Pop_bal,Salicaceae,Balsam-Pappel
51,Aesculus hippocastanum,Aes_hip,Sapindaceae,Gewöhnliche Roßkastanie
52,Salix fragilis,Sal_fra,Salicaceae,Bruch-Weide
53,Populus alba,Pop_alb,Salicaceae,Silber-Pappel
54,Populus x canadensis tremula,Pop_can,Salicaceae,NA
55,Quercus petraea,Que_pet,Fagacaea,Trauben-Eiche
56,Quercus pubescens,Que_pub,Fagacaea,Flaum-Eiche
57,Fraxinus angustifolia,Fra_ang,Oleaceae,Schmalblättrige Esche
58,Malus sylvestris,Mal_syl,Rosaceae,Holzapfel
59,Tilia x europaea,Til_eur,Malvaceae,Holländische Linde
61,Juniperus communis,Jun_com,Cupressaceae,Gemeiner Wacholder
64,Salix caprea x fragilis,Sal_cap,Salicaceae,NA
65,Salix cinerea x fragilis,Sal_cin,Salicaceae,NA
66,Rhamnus cathartica,Rha_cat,Rhamnaceae,Purgier-Kreuzdorn
67,Viburnum opulus,Vib_opu,Adoxaceae,Gewöhnlicher Schneeball
68,Lonicera xylosteum,Lon_xyl,Caprifoliaceae,Gewöhnliche Heckenkirsche
69,Sorbus intermedia,Sor_int,Pyrinae,Schwedische Mehlbeere
70,Abies alba,Abi_alb,Pinaceae,Weiß-Tanne
71,Abies grandis,Abi_gra,Pinaceae,Küsten-Tanne
72,Juglans regia,Jug_reg,Juglandaceae,Echte Walnuss
73,Larix europaea,Lar_eur,Pinaceae,Europäische Lärche
74,Larix kaempferi,Lar_kae,Pinaceae,Japanische Lärche
75,Malus sylvestris x domestica,Mal_syl,Rosaceae,Kulturapfel
76,Pinus nigra,Pin_nig,Pinaceae,Schwarzkiefer
77,Pinus pinaster,Pin_pin,Pinaceae,See-Kiefer
78,Pinus strobus,Pin_str,Pinaceae,Weymouth-Kiefer
79,Populus deltoides,Pop_del,Salicaceae,Kanadische Schwarz-Pappel
80,Populus nigra,Pop_nig,Salicaceae,Schwarz-Pappel
81,Populus trichocarpa,Pop_tri,Salicaceae,Westliche Balsam-Pappel
82,Prunus cerasus,Pru_cer,Rosaceae,Sauerkirsche
83,Prunus domestica ssp. insititia,Pru_dom,Rosaceae,Kriech-Pflaume
84,Prunus mahaleb,Pru_mah,Rosaceae,Steinweichsel
85,Pyrus pyraster,Pyr_pyr,Rosaceae,Wildbirne
86,Salix triandra,Sal_tri,Salicaceae,Mandel-Weide
87,Salix viminalis,Sal_vim,Salicaceae,Korb-Weide
88,Sorbus domestica,Sor_dom,Rosaceae,Speierling
89,Ulmus laevis,Ulm_lae,Ulmaceae,Flatterulme
93,Acer sp,Ace_sp,Sapindaceae,Ahorn
94,Salix sp,Sal_sp,Salicaceae,Weide
95,Tilia sp,Til_sp,Malvaceae,Linde
96,Betula sp,Bet_sp,Betulaceae,Birke
97,Prunus sp,Pru_sp,Rosaceae,Kirsche
98,Populus sp,Pop_sp,Salicaceae,Pappel
99,Crateagus sp,Cra_sp,Rosaceae,Weißdorn
100,Cedrus sp,Ced_sp,Pinaceae,Zeder
101,Fraxinus sp,Fra_sp,Oleaceae,Esche
102,Larix sp,Lar_sp,Pinaceae,Lärche
103,Malus sp,Mal_sp,Rosaceae,Apfel
104,Quercus sp,Que_sp,Fagacaea,Eiche
105,Thuja sp,Thu_sp,Cupressaceae,Lebensbaum
106,Ulmus sp,Ulm_sp,Ulmaceae,Ulme
107,Cornus sp,Cor_sp,Cornaceae,Hartriegel
